Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 1...
Loaded 11391 previous data points.
Scanning number of events on 27089 phase-space points
Point 15750 of 27089: 	 log10(mass) 0.025 	 log10(U2) -7.0 		 Events: 39000000.0
Point 16000 of 27089: 	 log10(mass) 0.043 	 log10(U2) -9.3 		 Events: 1100.0
Point 16250 of 27089: 	 log10(mass) 0.054 	 log10(U2) -7.6 		 Events: 1900000.0
Point 16500 of 27089: 	 log10(mass) 0.066 	 log10(U2) -6.0 		 Events: 2000000000.0
Point 16750 of 27089: 	 log10(mass) 0.083 	 log10(U2) -8.5 		 Events: 48000.0
Point 17000 of 27089: 	 log10(mass) 0.095 	 log10(U2) -6.9 		 Events: 54000000.0
Point 17250 of 27089: 	 log10(mass) 0.11 	 log10(U2) -9.5 		 Events: 2000.0
Point 17500 of 27089: 	 log10(mass) 0.12 	 log10(U2) -8.0 		 Events: 1800000.0
Point 17750 of 27089: 	 log10(mass) 0.13 	 log10(U2) -6.6 		 Events: 1000000000.0
Point 18000 of 27089: 	 log10(mass) 0.15 	 log10(U2) -9.2 		 Events: 10000.0
Point 18250 of 27089: 	 log10(mass) 0.16 	 log10(U2) -7.8 		 Events: 9200.0
Point 18500 of 27089: 	 log10(mass) 0.18 	 log10(U2) -6.5 		 Events: 5100000.0
Point 18750 of 27089: 	 log10(mass) 0.19 	 log10(U2) -9.1 		 Events: 51.0
Point 19000 of 27089: 	 log10(mass) 0.2 	 log10(U2) -7.5 		 Events: 47000.0
Point 19250 of 27089: 	 log10(mass) 0.22 	 log10(U2) -5.9 		 Events: 70000000.0
Point 19500 of 27089: 	 log10(mass) 0.23 	 log10(U2) -8.2 		 Events: 2000.0
Point 19750 of 27089: 	 log10(mass) 0.24 	 log10(U2) -6.5 		 Events: 5500000.0
Point 20000 of 27089: 	 log10(mass) 0.26 	 log10(U2) -8.6 		 Events: 270.0
Point 20250 of 27089: 	 log10(mass) 0.27 	 log10(U2) -6.8 		 Events: 1600000.0
Point 20500 of 27089: 	 log10(mass) 0.29 	 log10(U2) -8.7 		 Events: 40.0
Point 20750 of 27089: 	 log10(mass) 0.3 	 log10(U2) -6.8 		 Events: 260000.0
Point 21000 of 27089: 	 log10(mass) 0.32 	 log10(U2) -8.6 		 Events: 0.025
Point 21250 of 27089: 	 log10(mass) 0.33 	 log10(U2) -6.5 		 Events: 380.0
Point 21500 of 27089: 	 log10(mass) 0.35 	 log10(U2) -8.1 		 Events: 0.24
Point 21750 of 27089: 	 log10(mass) 0.36 	 log10(U2) -6.0 		 Events: 3700.0
Point 22000 of 27089: 	 log10(mass) 0.38 	 log10(U2) -7.4 		 Events: 6.5
Point 22250 of 27089: 	 log10(mass) 0.39 	 log10(U2) -8.7 		 Events: 0.015
Point 22500 of 27089: 	 log10(mass) 0.41 	 log10(U2) -6.3 		 Events: 880.0
Point 22750 of 27089: 	 log10(mass) 0.42 	 log10(U2) -7.4 		 Events: 7.0
Point 23000 of 27089: 	 log10(mass) 0.44 	 log10(U2) -8.3 		 Events: 0.069
Point 23250 of 27089: 	 log10(mass) 0.45 	 log10(U2) -5.7 		 Events: 1800.0
Point 23500 of 27089: 	 log10(mass) 0.47 	 log10(U2) -6.5 		 Events: 230.0
Point 23750 of 27089: 	 log10(mass) 0.49 	 log10(U2) -7.1 		 Events: 10.0
Point 24000 of 27089: 	 log10(mass) 0.5 	 log10(U2) -7.8 		 Events: 0.8
Point 24250 of 27089: 	 log10(mass) 0.52 	 log10(U2) -5.0 		 Events: 0.54
Point 24500 of 27089: 	 log10(mass) 0.53 	 log10(U2) -5.4 		 Events: 12.0
Point 24750 of 27089: 	 log10(mass) 0.55 	 log10(U2) -5.7 		 Events: 23.0
Point 25000 of 27089: 	 log10(mass) 0.57 	 log10(U2) -5.9 		 Events: 30.0
Point 25250 of 27089: 	 log10(mass) 0.58 	 log10(U2) -6.0 		 Events: 26.0
Point 25500 of 27089: 	 log10(mass) 0.6 	 log10(U2) -6.0 		 Events: 6.8
Point 25750 of 27089: 	 log10(mass) 0.62 	 log10(U2) -5.8 		 Events: 0.62
Point 26000 of 27089: 	 log10(mass) 0.64 	 log10(U2) -5.5 		 Events: 0.0025
Point 26250 of 27089: 	 log10(mass) 0.65 	 log10(U2) -5.1 		 Events: 1.4e-12
Point 26500 of 27089: 	 log10(mass) 0.67 	 log10(U2) -4.4 		 Events: 0.0
Point 26750 of 27089: 	 log10(mass) 0.69 	 log10(U2) -6.1 		 Events: 0.00027
Point 27000 of 27089: 	 log10(mass) 0.71 	 log10(U2) -4.7 		 Events: 0.0
