Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 1...
Loaded 12815 previous data points.
Scanning number of events on 346592 phase-space points
Point 0 of 346592: 	 log10(mass) -1.0 	 log10(U2) -7.0 		 Events: 0.022
Point 250 of 346592: 	 log10(mass) -1.0 	 log10(U2) -4.5 		 Events: 2300.0
Point 500 of 346592: 	 log10(mass) -1.0 	 log10(U2) -4.9 		 Events: 380.0
Point 750 of 346592: 	 log10(mass) -0.99 	 log10(U2) -5.2 		 Events: 77.0
Point 1000 of 346592: 	 log10(mass) -0.99 	 log10(U2) -5.5 		 Events: 12.0
Point 1250 of 346592: 	 log10(mass) -0.99 	 log10(U2) -5.9 		 Events: 2.5
Point 1500 of 346592: 	 log10(mass) -0.99 	 log10(U2) -6.3 		 Events: 0.55
Point 1750 of 346592: 	 log10(mass) -0.99 	 log10(U2) -6.6 		 Events: 0.1
Point 2000 of 346592: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 0.026
Point 2250 of 346592: 	 log10(mass) -0.99 	 log10(U2) -4.5 		 Events: 2300.0
Point 2500 of 346592: 	 log10(mass) -0.98 	 log10(U2) -4.8 		 Events: 380.0
Point 2750 of 346592: 	 log10(mass) -0.98 	 log10(U2) -5.2 		 Events: 77.0
Point 3000 of 346592: 	 log10(mass) -0.98 	 log10(U2) -5.6 		 Events: 12.0
Point 3250 of 346592: 	 log10(mass) -0.98 	 log10(U2) -5.9 		 Events: 2.5
Point 3500 of 346592: 	 log10(mass) -0.98 	 log10(U2) -6.3 		 Events: 0.46
Point 3750 of 346592: 	 log10(mass) -0.98 	 log10(U2) -6.7 		 Events: 0.082
Point 4000 of 346592: 	 log10(mass) -0.97 	 log10(U2) -7.0 		 Events: 0.022
Point 4250 of 346592: 	 log10(mass) -0.97 	 log10(U2) -4.5 		 Events: 1300.0
Point 4500 of 346592: 	 log10(mass) -0.97 	 log10(U2) -4.9 		 Events: 220.0
Point 4750 of 346592: 	 log10(mass) -0.97 	 log10(U2) -5.3 		 Events: 49.0
Point 5000 of 346592: 	 log10(mass) -0.97 	 log10(U2) -5.7 		 Events: 7.5
Point 5250 of 346592: 	 log10(mass) -0.97 	 log10(U2) -6.0 		 Events: 1.5
Point 5500 of 346592: 	 log10(mass) -0.97 	 log10(U2) -6.4 		 Events: 0.32
Point 5750 of 346592: 	 log10(mass) -0.96 	 log10(U2) -6.8 		 Events: 0.055
Point 6000 of 346592: 	 log10(mass) -0.96 	 log10(U2) -4.3 		 Events: 4300.0
Point 6250 of 346592: 	 log10(mass) -0.96 	 log10(U2) -4.7 		 Events: 800.0
Point 6500 of 346592: 	 log10(mass) -0.96 	 log10(U2) -5.1 		 Events: 160.0
Point 6750 of 346592: 	 log10(mass) -0.96 	 log10(U2) -5.5 		 Events: 19.0
Point 7000 of 346592: 	 log10(mass) -0.96 	 log10(U2) -5.9 		 Events: 3.4
Point 7250 of 346592: 	 log10(mass) -0.96 	 log10(U2) -6.2 		 Events: 0.55
Point 7500 of 346592: 	 log10(mass) -0.95 	 log10(U2) -6.6 		 Events: 0.082
Point 7750 of 346592: 	 log10(mass) -0.95 	 log10(U2) -7.0 		 Events: 0.022
Point 8000 of 346592: 	 log10(mass) -0.95 	 log10(U2) -4.5 		 Events: 1300.0
Point 8250 of 346592: 	 log10(mass) -0.95 	 log10(U2) -4.9 		 Events: 170.0
Point 8500 of 346592: 	 log10(mass) -0.95 	 log10(U2) -5.3 		 Events: 37.0
Point 8750 of 346592: 	 log10(mass) -0.95 	 log10(U2) -5.7 		 Events: 7.5
Point 9000 of 346592: 	 log10(mass) -0.94 	 log10(U2) -6.1 		 Events: 1.1
Point 9250 of 346592: 	 log10(mass) -0.94 	 log10(U2) -6.5 		 Events: 0.21
Point 9500 of 346592: 	 log10(mass) -0.94 	 log10(U2) -6.9 		 Events: 0.026
Point 9750 of 346592: 	 log10(mass) -0.94 	 log10(U2) -4.4 		 Events: 2300.0
Point 10000 of 346592: 	 log10(mass) -0.94 	 log10(U2) -4.9 		 Events: 380.0
Point 10250 of 346592: 	 log10(mass) -0.94 	 log10(U2) -5.3 		 Events: 270.0
Point 10500 of 346592: 	 log10(mass) -0.94 	 log10(U2) -5.7 		 Events: 61.0
Point 10750 of 346592: 	 log10(mass) -0.93 	 log10(U2) -6.1 		 Events: 6.7
Point 11000 of 346592: 	 log10(mass) -0.93 	 log10(U2) -6.5 		 Events: 0.99
Point 11250 of 346592: 	 log10(mass) -0.93 	 log10(U2) -6.9 		 Events: 0.13
Point 11500 of 346592: 	 log10(mass) -0.93 	 log10(U2) -4.4 		 Events: 15000.0
Point 11750 of 346592: 	 log10(mass) -0.93 	 log10(U2) -4.8 		 Events: 2600.0
Point 12000 of 346592: 	 log10(mass) -0.93 	 log10(U2) -5.3 		 Events: 270.0
Point 12250 of 346592: 	 log10(mass) -0.93 	 log10(U2) -5.7 		 Events: 61.0
Point 12500 of 346592: 	 log10(mass) -0.92 	 log10(U2) -6.1 		 Events: 6.7
Point 12750 of 346592: 	 log10(mass) -0.92 	 log10(U2) -6.5 		 Events: 0.99
Point 13000 of 346592: 	 log10(mass) -0.92 	 log10(U2) -7.0 		 Events: 0.13
Point 13250 of 346592: 	 log10(mass) -0.92 	 log10(U2) -4.5 		 Events: 14000.0
Point 13500 of 346592: 	 log10(mass) -0.92 	 log10(U2) -4.9 		 Events: 1700.0
Point 13750 of 346592: 	 log10(mass) -0.92 	 log10(U2) -5.3 		 Events: 260.0
Point 14000 of 346592: 	 log10(mass) -0.92 	 log10(U2) -5.8 		 Events: 30.0
Point 14250 of 346592: 	 log10(mass) -0.91 	 log10(U2) -6.2 		 Events: 5.7
Point 14500 of 346592: 	 log10(mass) -0.91 	 log10(U2) -6.6 		 Events: 0.43
Point 14750 of 346592: 	 log10(mass) -0.91 	 log10(U2) -7.1 		 Events: 0.089
Point 15000 of 346592: 	 log10(mass) -0.91 	 log10(U2) -4.6 		 Events: 9400.0
Point 15250 of 346592: 	 log10(mass) -0.91 	 log10(U2) -5.0 		 Events: 1200.0
Point 15500 of 346592: 	 log10(mass) -0.91 	 log10(U2) -5.5 		 Events: 150.0
Point 15750 of 346592: 	 log10(mass) -0.91 	 log10(U2) -5.9 		 Events: 16.0
Point 16000 of 346592: 	 log10(mass) -0.9 	 log10(U2) -6.4 		 Events: 2.1
Point 16250 of 346592: 	 log10(mass) -0.9 	 log10(U2) -6.8 		 Events: 0.31
Point 16500 of 346592: 	 log10(mass) -0.9 	 log10(U2) -7.3 		 Events: 0.039
Point 16750 of 346592: 	 log10(mass) -0.9 	 log10(U2) -4.8 		 Events: 4500.0
Point 17000 of 346592: 	 log10(mass) -0.9 	 log10(U2) -5.2 		 Events: 460.0
Point 17250 of 346592: 	 log10(mass) -0.9 	 log10(U2) -5.7 		 Events: 49.0
Point 17500 of 346592: 	 log10(mass) -0.89 	 log10(U2) -6.1 		 Events: 5.0
Point 17750 of 346592: 	 log10(mass) -0.89 	 log10(U2) -6.6 		 Events: 0.82
Point 18000 of 346592: 	 log10(mass) -0.89 	 log10(U2) -7.0 		 Events: 0.11
Point 18250 of 346592: 	 log10(mass) -0.89 	 log10(U2) -4.5 		 Events: 11000.0
Point 18500 of 346592: 	 log10(mass) -0.89 	 log10(U2) -5.0 		 Events: 1100.0
Point 18750 of 346592: 	 log10(mass) -0.89 	 log10(U2) -5.5 		 Events: 180.0
Point 19000 of 346592: 	 log10(mass) -0.89 	 log10(U2) -5.9 		 Events: 17.0
Point 19250 of 346592: 	 log10(mass) -0.88 	 log10(U2) -6.4 		 Events: 1.9
Point 19500 of 346592: 	 log10(mass) -0.88 	 log10(U2) -6.9 		 Events: 0.22
Point 19750 of 346592: 	 log10(mass) -0.88 	 log10(U2) -4.4 		 Events: 20000.0
Point 20000 of 346592: 	 log10(mass) -0.88 	 log10(U2) -4.8 		 Events: 2200.0
Point 20250 of 346592: 	 log10(mass) -0.88 	 log10(U2) -5.3 		 Events: 350.0
Point 20500 of 346592: 	 log10(mass) -0.88 	 log10(U2) -5.8 		 Events: 35.0
Point 20750 of 346592: 	 log10(mass) -0.88 	 log10(U2) -6.3 		 Events: 3.3
Point 21000 of 346592: 	 log10(mass) -0.87 	 log10(U2) -6.7 		 Events: 0.38
Point 21250 of 346592: 	 log10(mass) -0.87 	 log10(U2) -7.2 		 Events: 0.039
Point 21500 of 346592: 	 log10(mass) -0.87 	 log10(U2) -4.7 		 Events: 4500.0
Point 21750 of 346592: 	 log10(mass) -0.87 	 log10(U2) -5.2 		 Events: 550.0
Point 22000 of 346592: 	 log10(mass) -0.87 	 log10(U2) -5.7 		 Events: 65.0
Point 22250 of 346592: 	 log10(mass) -0.87 	 log10(U2) -6.2 		 Events: 5.2
Point 22500 of 346592: 	 log10(mass) -0.87 	 log10(U2) -6.6 		 Events: 0.58
Point 22750 of 346592: 	 log10(mass) -0.86 	 log10(U2) -7.1 		 Events: 0.061
Point 23000 of 346592: 	 log10(mass) -0.86 	 log10(U2) -4.6 		 Events: 7600.0
Point 23250 of 346592: 	 log10(mass) -0.86 	 log10(U2) -5.1 		 Events: 890.0
Point 23500 of 346592: 	 log10(mass) -0.86 	 log10(U2) -5.6 		 Events: 65.0
Point 23750 of 346592: 	 log10(mass) -0.86 	 log10(U2) -6.1 		 Events: 10.0
Point 24000 of 346592: 	 log10(mass) -0.86 	 log10(U2) -6.6 		 Events: 0.75
Point 24250 of 346592: 	 log10(mass) -0.86 	 log10(U2) -7.1 		 Events: 0.079
Point 24500 of 346592: 	 log10(mass) -0.86 	 log10(U2) -4.6 		 Events: 7600.0
Point 24750 of 346592: 	 log10(mass) -0.85 	 log10(U2) -5.1 		 Events: 890.0
Point 25000 of 346592: 	 log10(mass) -0.85 	 log10(U2) -5.6 		 Events: 81.0
Point 25250 of 346592: 	 log10(mass) -0.85 	 log10(U2) -6.1 		 Events: 7.5
Point 25500 of 346592: 	 log10(mass) -0.85 	 log10(U2) -6.6 		 Events: 0.75
Point 25750 of 346592: 	 log10(mass) -0.85 	 log10(U2) -7.1 		 Events: 0.079
Point 26000 of 346592: 	 log10(mass) -0.85 	 log10(U2) -4.6 		 Events: 7600.0
Point 26250 of 346592: 	 log10(mass) -0.84 	 log10(U2) -5.1 		 Events: 890.0
Point 26500 of 346592: 	 log10(mass) -0.84 	 log10(U2) -5.6 		 Events: 65.0
