Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 3...
Loaded 12527 previous data points.
Scanning number of events on 28866 phase-space points
Point 0 of 28866: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 4.1e-05
Point 250 of 28866: 	 log10(mass) -0.98 	 log10(U2) -6.0 		 Events: 0.0036
Point 500 of 28866: 	 log10(mass) -0.96 	 log10(U2) -5.2 		 Events: 0.24
Point 750 of 28866: 	 log10(mass) -0.95 	 log10(U2) -4.3 		 Events: 7.0
Point 1000 of 28866: 	 log10(mass) -0.93 	 log10(U2) -6.5 		 Events: 0.04
Point 1250 of 28866: 	 log10(mass) -0.91 	 log10(U2) -5.8 		 Events: 0.85
Point 1500 of 28866: 	 log10(mass) -0.9 	 log10(U2) -5.1 		 Events: 15.0
Point 1750 of 28866: 	 log10(mass) -0.88 	 log10(U2) -4.5 		 Events: 290.0
Point 2000 of 28866: 	 log10(mass) -0.86 	 log10(U2) -7.0 		 Events: 0.0025
Point 2250 of 28866: 	 log10(mass) -0.85 	 log10(U2) -6.5 		 Events: 0.025
Point 2500 of 28866: 	 log10(mass) -0.83 	 log10(U2) -6.1 		 Events: 0.13
Point 2750 of 28866: 	 log10(mass) -0.81 	 log10(U2) -5.7 		 Events: 0.99
Point 3000 of 28866: 	 log10(mass) -0.8 	 log10(U2) -5.4 		 Events: 4.6
Point 3250 of 28866: 	 log10(mass) -0.78 	 log10(U2) -5.1 		 Events: 15.0
Point 3500 of 28866: 	 log10(mass) -0.77 	 log10(U2) -4.9 		 Events: 89.0
Point 3750 of 28866: 	 log10(mass) -0.75 	 log10(U2) -7.9 		 Events: 0.00017
Point 4000 of 28866: 	 log10(mass) -0.73 	 log10(U2) -7.8 		 Events: 0.00044
Point 4250 of 28866: 	 log10(mass) -0.72 	 log10(U2) -7.8 		 Events: 0.00056
Point 4500 of 28866: 	 log10(mass) -0.7 	 log10(U2) -7.8 		 Events: 0.00093
Point 4750 of 28866: 	 log10(mass) -0.68 	 log10(U2) -7.9 		 Events: 0.0012
Point 5000 of 28866: 	 log10(mass) -0.67 	 log10(U2) -7.9 		 Events: 0.00078
Point 5250 of 28866: 	 log10(mass) -0.65 	 log10(U2) -8.1 		 Events: 0.00032
Point 5500 of 28866: 	 log10(mass) -0.64 	 log10(U2) -8.4 		 Events: 0.00024
Point 5750 of 28866: 	 log10(mass) -0.63 	 log10(U2) -5.3 		 Events: 300.0
Point 6000 of 28866: 	 log10(mass) -0.61 	 log10(U2) -5.6 		 Events: 51.0
