Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 2...
Loaded 13637 previous data points.
Scanning number of events on 1497311 phase-space points
Point 0 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -7.0 		 Events: 0.00089
Point 250 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -5.8 		 Events: 0.24
Point 500 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -4.5 		 Events: 110.0
Point 750 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -6.1 		 Events: 0.053
Point 1000 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -4.8 		 Events: 15.0
Point 1250 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -6.4 		 Events: 0.012
Point 1500 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -5.2 		 Events: 3.4
Point 1750 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -6.8 		 Events: 0.0028
Point 2000 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -5.5 		 Events: 0.57
Point 2250 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -4.3 		 Events: 200.0
Point 2500 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -5.9 		 Events: 0.1
Point 2750 of 1497311: 	 log10(mass) -1.0 	 log10(U2) -4.7 		 Events: 39.0
Point 3000 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.3 		 Events: 0.026
Point 3250 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.0 		 Events: 8.7
Point 3500 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.6 		 Events: 0.0047
Point 3750 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.4 		 Events: 1.8
Point 4000 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 0.001
Point 4250 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.7 		 Events: 0.32
Point 4500 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -4.5 		 Events: 110.0
Point 4750 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.1 		 Events: 0.053
Point 5000 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -4.8 		 Events: 15.0
Point 5250 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.4 		 Events: 0.016
Point 5500 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.2 		 Events: 3.4
Point 5750 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.8 		 Events: 0.0028
Point 6000 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.5 		 Events: 0.57
Point 6250 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -4.3 		 Events: 200.0
Point 6500 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.9 		 Events: 0.1
Point 6750 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -4.6 		 Events: 47.0
Point 7000 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.2 		 Events: 0.026
Point 7250 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.0 		 Events: 8.7
Point 7500 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -6.6 		 Events: 0.0047
Point 7750 of 1497311: 	 log10(mass) -0.99 	 log10(U2) -5.4 		 Events: 1.8
