Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 2...
Loaded 11080 previous data points.
Scanning number of events on 12968 phase-space points
Point 0 of 12968: 	 log10(mass) -0.99 	 log10(U2) -7.0 		 Events: 0.00089
Point 250 of 12968: 	 log10(mass) -0.96 	 log10(U2) -5.2 		 Events: 2.9
Point 500 of 12968: 	 log10(mass) -0.91 	 log10(U2) -6.5 		 Events: 0.62
Point 750 of 12968: 	 log10(mass) -0.88 	 log10(U2) -5.1 		 Events: 420.0
Point 1000 of 12968: 	 log10(mass) -0.84 	 log10(U2) -6.8 		 Events: 0.1
Point 1250 of 12968: 	 log10(mass) -0.8 	 log10(U2) -5.7 		 Events: 28.0
Point 1500 of 12968: 	 log10(mass) -0.76 	 log10(U2) -7.9 		 Events: 0.0051
Point 1750 of 12968: 	 log10(mass) -0.72 	 log10(U2) -7.2 		 Events: 0.34
Point 2000 of 12968: 	 log10(mass) -0.69 	 log10(U2) -6.6 		 Events: 8.7
Point 2250 of 12968: 	 log10(mass) -0.66 	 log10(U2) -6.1 		 Events: 130.0
Point 2500 of 12968: 	 log10(mass) -0.62 	 log10(U2) -5.9 		 Events: 2000.0
Point 2750 of 12968: 	 log10(mass) -0.59 	 log10(U2) -5.7 		 Events: 5500.0
Point 3000 of 12968: 	 log10(mass) -0.55 	 log10(U2) -5.7 		 Events: 32000.0
Point 3250 of 12968: 	 log10(mass) -0.52 	 log10(U2) -5.9 		 Events: 35000.0
Point 3500 of 12968: 	 log10(mass) -0.48 	 log10(U2) -6.3 		 Events: 22000.0
Point 3750 of 12968: 	 log10(mass) -0.45 	 log10(U2) -6.7 		 Events: 3400.0
Point 4000 of 12968: 	 log10(mass) -0.41 	 log10(U2) -7.4 		 Events: 360.0
Point 4250 of 12968: 	 log10(mass) -0.38 	 log10(U2) -8.2 		 Events: 17.0
Point 4500 of 12968: 	 log10(mass) -0.35 	 log10(U2) -9.2 		 Events: 0.27
Point 4750 of 12968: 	 log10(mass) -0.32 	 log10(U2) -6.6 		 Events: 43000.0
Point 5000 of 12968: 	 log10(mass) -0.29 	 log10(U2) -7.9 		 Events: 280.0
Point 5250 of 12968: 	 log10(mass) -0.25 	 log10(U2) -9.2 		 Events: 0.72
Point 5500 of 12968: 	 log10(mass) -0.22 	 log10(U2) -7.0 		 Events: 26000.0
Point 5750 of 12968: 	 log10(mass) -0.19 	 log10(U2) -8.7 		 Events: 26.0
Point 6000 of 12968: 	 log10(mass) -0.16 	 log10(U2) -6.7 		 Events: 190000.0
Point 6250 of 12968: 	 log10(mass) -0.13 	 log10(U2) -8.6 		 Events: 52.0
Point 6500 of 12968: 	 log10(mass) -0.1 	 log10(U2) -6.8 		 Events: 360000.0
Point 6750 of 12968: 	 log10(mass) -0.07 	 log10(U2) -9.0 		 Events: 21.0
Point 7000 of 12968: 	 log10(mass) -0.044 	 log10(U2) -7.4 		 Events: 34000.0
Point 7250 of 12968: 	 log10(mass) -0.0096 	 log10(U2) -9.9 		 Events: 0.78
Point 7500 of 12968: 	 log10(mass) 0.016 	 log10(U2) -8.5 		 Events: 680.0
Point 7750 of 12968: 	 log10(mass) 0.042 	 log10(U2) -7.2 		 Events: 22000000.0
Point 8000 of 12968: 	 log10(mass) 0.076 	 log10(U2) -10.0 		 Events: 28.0
Point 8250 of 12968: 	 log10(mass) 0.1 	 log10(U2) -8.9 		 Events: 18000.0
Point 8500 of 12968: 	 log10(mass) 0.13 	 log10(U2) -7.9 		 Events: 1900000.0
Point 8750 of 12968: 	 log10(mass) 0.16 	 log10(U2) -11.0 		 Events: 0.0019
Point 9000 of 12968: 	 log10(mass) 0.19 	 log10(U2) -10.0 		 Events: 0.15
Point 9250 of 12968: 	 log10(mass) 0.21 	 log10(U2) -9.0 		 Events: 49.0
Point 9500 of 12968: 	 log10(mass) 0.24 	 log10(U2) -7.6 		 Events: 35000.0
Point 9750 of 12968: 	 log10(mass) 0.27 	 log10(U2) -9.9 		 Events: 0.52
Point 10000 of 12968: 	 log10(mass) 0.3 	 log10(U2) -8.0 		 Events: 0.57
Point 10250 of 12968: 	 log10(mass) 0.33 	 log10(U2) -9.6 		 Events: 0.00025
Point 10500 of 12968: 	 log10(mass) 0.36 	 log10(U2) -7.3 		 Events: 10.0
Point 10750 of 12968: 	 log10(mass) 0.4 	 log10(U2) -8.4 		 Events: 0.078
Point 11000 of 12968: 	 log10(mass) 0.43 	 log10(U2) -9.2 		 Events: 0.0015
Point 11250 of 12968: 	 log10(mass) 0.46 	 log10(U2) -6.1 		 Events: 450.0
Point 11500 of 12968: 	 log10(mass) 0.49 	 log10(U2) -6.3 		 Events: 110.0
Point 11750 of 12968: 	 log10(mass) 0.52 	 log10(U2) -6.1 		 Events: 45.0
Point 12000 of 12968: 	 log10(mass) 0.56 	 log10(U2) -5.6 		 Events: 0.44
Point 12250 of 12968: 	 log10(mass) 0.6 	 log10(U2) -7.9 		 Events: 0.34
Point 12500 of 12968: 	 log10(mass) 0.64 	 log10(U2) -6.6 		 Events: 2.8
Point 12750 of 12968: 	 log10(mass) 0.67 	 log10(U2) -4.9 		 Events: 0.0
